ClientIP 127.0.0.1 :30060,Response {"Data":null,"Message":"PLC未连接","ResultType":1,"Success":false},at 2023/1/4 9:47:27 , IPlcServer.GetAlarmInformation is called , duration: 0.9965 

ClientIP 127.0.0.1 :30060,Response {"Data":null,"Message":"PLC未连接","ResultType":1,"Success":false},at 2023/1/4 9:47:30 , IPlcServer.GetPlcDeivceStatus is called , duration: 0 

ClientIP 127.0.0.1 :30060,Response {"Data":null,"Message":"PLC未连接","ResultType":1,"Success":false},at 2023/1/4 9:47:30 , IPlcServer.GetAlarmInformation is called , duration: 0 

ClientIP 127.0.0.1 :30060,Response {"Data":null,"Message":"PLC未连接","ResultType":1,"Success":false},at 2023/1/4 9:47:33 , IPlcServer.GetPlcDeivceStatus is called , duration: 32.8091 

ClientIP 127.0.0.1 :30060,Response {"Data":null,"Message":"PLC未连接","ResultType":1,"Success":false},at 2023/1/4 9:47:33 , IPlcServer.GetAlarmInformation is called , duration: 27.6421 

ClientIP 127.0.0.1 :30060,Response {"Data":null,"Message":"PLC未连接","ResultType":1,"Success":false},at 2023/1/4 9:47:36 , IPlcServer.GetPlcDeivceStatus is called , duration: 0 

ClientIP 127.0.0.1 :30060,Response {"Data":null,"Message":"PLC未连接","ResultType":1,"Success":false},at 2023/1/4 9:47:36 , IPlcServer.GetAlarmInformation is called , duration: 2.1032 

ClientIP 127.0.0.1 :30060,Response {"Data":null,"Message":"PLC未连接","ResultType":1,"Success":false},at 2023/1/4 9:47:39 , IPlcServer.GetPlcDeivceStatus is called , duration: 0 

ClientIP 127.0.0.1 :30060,Response {"Data":null,"Message":"PLC未连接","ResultType":1,"Success":false},at 2023/1/4 9:47:39 , IPlcServer.GetAlarmInformation is called , duration: 0 

ClientIP 127.0.0.1 :30060,Response {"Data":null,"Message":"PLC未连接","ResultType":1,"Success":false},at 2023/1/4 9:47:42 , IPlcServer.GetPlcDeivceStatus is called , duration: 0 

ClientIP 127.0.0.1 :30060,Response {"Data":null,"Message":"PLC未连接","ResultType":1,"Success":false},at 2023/1/4 9:47:42 , IPlcServer.GetAlarmInformation is called , duration: 0.3434 

ClientIP 127.0.0.1 :30060,Response {"Data":null,"Message":"PLC未连接","ResultType":1,"Success":false},at 2023/1/4 9:47:45 , IPlcServer.GetPlcDeivceStatus is called , duration: 0.2296 

ClientIP 127.0.0.1 :30060,Response {"Data":null,"Message":"PLC未连接","ResultType":1,"Success":false},at 2023/1/4 9:47:45 , IPlcServer.GetAlarmInformation is called , duration: 0 

ClientIP 127.0.0.1 :30060,Response {"Data":null,"Message":"PLC未连接","ResultType":1,"Success":false},at 2023/1/4 9:47:48 , IPlcServer.GetPlcDeivceStatus is called , duration: 0 

